file,tau_xor_affected,seq_share,xor_share,par_share,loop_share,End-to-End,AS-Resolved PAR-only,AS-Resolved LOOP-only,Data Exposure,Data Exposure ST-only
sample_log.csv,False,0.7142857142857143,0.14285714285714285,0.14285714285714285,0.0,60.0,40.0,0.0,100.0,100.0
test_01_seq_par.csv,False,0.6666666666666666,0.0,0.3333333333333333,0.0,0.0,100.0,0.0,100.0,100.0
test_02_seq_xor.csv,False,0.6666666666666666,0.3333333333333333,0.0,0.0,100.0,0.0,0.0,100.0,100.0
test_03_loop_std.csv,False,0.6666666666666666,0.0,0.0,0.3333333333333333,0.0,0.0,5.0,100.0,100.0
test_04_par_xor.csv,False,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0,100.0,0.0,100.0,100.0
test_05_xor_seq.csv,False,0.6666666666666666,0.3333333333333333,0.0,0.0,100.0,0.0,0.0,100.0,100.0
test_06_xor_xor.csv,False,0.5,0.5,0.0,0.0,5.88,0.0,0.0,100.0,100.0
test_07_par_par.csv,False,0.5,0.0,0.5,0.0,0.0,100.0,0.0,100.0,100.0
test_08_xor_loop.csv,False,0.5,0.25,0.0,0.25,61.54,0.0,3.85,100.0,100.0
test_09_deep_seq.csv,False,1.0,0.0,0.0,0.0,100.0,0.0,0.0,100.0,100.0
test_10_nested_par.csv,False,0.5,0.0,0.5,0.0,0.0,0.0,0.0,100.0,100.0
test_10_xor_loop.csv,False,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,0.0,100.0,100.0
test_11_nesting.csv,False,0.4166666666666667,0.3333333333333333,0.08333333333333333,0.16666666666666666,25.0,12.5,12.5,100.0,100.0
test_12_skiping.csv,True,0.375,0.25,0.25,0.125,0.0,0.0,0.0,92.98,100.0
test_13_deepLoop.csv,True,0.375,0.375,0.125,0.125,0.0,0.0,0.0,100.0,100.0
test_14_asymTree.csv,True,0.3333333333333333,0.3333333333333333,0.16666666666666666,0.16666666666666666,0.0,0.0,0.0,100.0,100.0
test_15_loop3.csv,True,0.2631578947368421,0.42105263157894735,0.10526315789473684,0.21052631578947367,0.0,0.0,0.0,88.69,100.0
test_16_tauabiyss.csv,True,0.5555555555555556,0.4444444444444444,0.0,0.0,25.0,0.0,0.0,100.0,100.0
test_17_spagetti.csv,True,0.36363636363636365,0.2727272727272727,0.18181818181818182,0.18181818181818182,0.0,0.0,0.0,100.0,100.0
test_18_inter_loop.csv,True,0.18181818181818182,0.5454545454545454,0.09090909090909091,0.18181818181818182,0.0,0.0,0.0,100.0,0.0
test_19_phantomBranch.csv,True,0.7272727272727273,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.0,0.0,0.0,100.0,100.0
test_20_loopDouble.csv,True,0.2,0.3333333333333333,0.2,0.26666666666666666,0.0,0.0,0.0,88.17,100.0
test_21_wildCards.csv,True,0.3,0.6,0.1,0.0,0.0,45.0,0.0,100.0,100.0
test_22_precTest.csv,False,0.3333333333333333,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,100.0,100.0
test_23_precTest2.csv,False,0.6,0.2,0.2,0.0,0.0,100.0,0.0,100.0,100.0
test_24_zero_redo.csv,False,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,60.0,0.0,0.0,100.0,100.0
test_25_massive.csv,False,0.4,0.2,0.2,0.2,0.0,70.0,0.0,100.0,100.0
test_26_loop_par_noxor.csv,False,0.4,0.0,0.2,0.4,0.0,0.0,0.0,100.0,100.0
test_27_par_loop_noxor.csv,False,0.5,0.0,0.25,0.25,0.0,0.0,0.0,100.0,100.0
